"rid","q2_type","q2_type_id","q5_satisfaction","q6_problems","q6_problems_id","q7_privacy","q7_human_support","q7_accessibility","q7_connection","q7_governance","q7_cost","q7_adaptability","q7_reliability","q9_familiarity","q9_familiarity_id","q10_importance","q10_importance_id","q11_trust","q11_trust_id","q12_adoption","q12_adoption_id","q13_model_matters","q13_model_matters_id","q15_trustworthy","q16_interest","q16_interest_id","q18_coop_fit","q18_coop_fit_id","q19_coop_relationship","q19_coop_relationship_id","q20_coop_trust","q22_nonprofit_burdens","q23_nonprofit_attractive","q23_nonprofit_attractive_id","q24_nonprofit_conditions","q26_community_difficulties","q27_community_role","q27_community_role_id","q29_union_needs","q30_union_appeal","q30_union_appeal_id","q31_union_governance","q33_muni_requirements","q34_muni_perception","q34_muni_perception_id","q36_activist_risks","q37_activist_trust","q37_activist_trust_id","q38_activist_conditions","q40_relationship","q40_relationship_id","q41_involvement","q41_involvement_id","q42_trust_conditions","q42_trust_conditions_id","q43_first_year","q43_first_year_id","q45_optional","q45_optional_id","q46_comments","q47_followup","q47_followup_id","q48_updates","q48_updates_id","q50_barriers","q50_barriers_id","q51_support","q51_support_id","q52_price_sensitivity","q52_price_sensitivity_id","q54_contribution_type","q54_contribution_type_id","q55_individual_amount","q55_individual_amount_id","q56_worthwhile","q58_org_pricing_model","q58_org_pricing_model_id","q59_org_willingness","q59_org_willingness_id","q60_org_cost","q60_org_cost_id","q61_org_cost_justified","q63_consent","q9_familiarity_id_ord","q10_importance_id_ord","q11_trust_id_ord","q12_adoption_id_ord"
"R069","I am answering as a member of the general public","general_public","4.0","Weak support when something goes wrong","weak_support","5.0","5.0","5.0","4.0","4.0","4.0","3.0","4.0","Not familiar","not_familiar","Somewhat important","somewhat_important","Somewhat more likely","somewhat_more_likely","No difference","no_difference","More accountability to real communities; It would not matter much to me","accountability, does_not_matter","","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","Consultation as a user","consulted_as_user","Reliable support and maintenance; Real examples or pilot partners; Clear accountability if something goes wrong","reliable_support, real_examples, clear_accountability","Join a pilot; Give regular feedback; Participate in governance or voting; Refer others","join_pilot, give_feedback, governance, refer_others","Yes","yes","","No","no","No","no","Cost or affordability; Lack of integrations with other tools; We are satisfied with current options","cost_affordability, integration_gaps, satisfied_current","Easy onboarding or setup help; Clear documentation and self-serve guides","onboarding_help, documentation","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","I would prefer to support it in a non-financial way","non_financial","I would only use it if it stayed free","free_only","","","","","","","","","","1.0","2.0","3.0","2.0"
"R070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R071","Co-op","co_op","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R072","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R073","I am answering as a member of the general public","general_public","2.0","Weak support when something goes wrong; Poor privacy or data protection","weak_support, poor_privacy","5.0","5.0","4.0","5.0","5.0","3.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better privacy and data stewardship; Better alignment with co-operative or community values","decision_trust, privacy, values_alignment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0","4.0","4.0","4.0"
"R074","I am answering as a member of the general public","general_public","3.0","Too expensive; Too much dependence on large corporate platforms; Weak support when something goes wrong","too_expensive, corporate_dependence, weak_support","3.0","5.0","5.0","4.0","2.0","5.0","4.0","5.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, less_profit_pressure, long_term_benefit","","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","Consultation as a user","consulted_as_user","Clear governance structure; Transparent finances; Reliable support and maintenance; Clear accountability if something goes wrong; Long-term sustainability plan","clear_governance, transparent_finances, reliable_support, clear_accountability, sustainability_plan","Join a pilot; Give regular feedback; Participate in governance or voting; Refer others; Contribute time or expertise","join_pilot, give_feedback, governance, refer_others, contribute_time","Yes","yes","","Yes","yes","Yes","yes","Cost or affordability; Time required to learn or onboard; Technical setup or maintenance demands; Lack of integrations with other tools","cost_affordability, time_to_learn, technical_setup, integration_gaps","Easy onboarding or setup help; Clear documentation and self-serve guides; Affordable hosting or infrastructure support; Help migrating from current tools","onboarding_help, documentation, hosting_support, migration_help","Very sensitive — it would need to be free or very low cost","very_sensitive","Occasional voluntary contribution","occasional_contribution","I would only use it if it stayed free","free_only","","","","","","","","","accepted","3.0","3.0","3.0","3.0"
"R075","Other / not specified","other_organisation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R076","I am answering as a member of the general public","general_public","2.0","Poor privacy or data protection; Too many separate tools to manage; Too expensive","poor_privacy, too_many_tools, too_expensive","4.0","3.0","5.0","4.0","4.0","3.0","3.0","4.0","Very familiar","very_familiar","Somewhat important","somewhat_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More accountability to real communities; More trust in how decisions are made; Better privacy and data stewardship","accountability, decision_trust, privacy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.0","2.0","3.0","3.0"
"R077","I am answering as a member of the general public","general_public","5.0","Too many separate tools to manage","too_many_tools","5.0","5.0","5.0","5.0","5.0","2.0","5.0","5.0","Very familiar","very_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made","decision_trust","Once it’s easy to access ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","A meaningful voice in governance and direction","meaningful_voice","Strong privacy and data protection; Reliable support and maintenance; Real examples or pilot partners; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Long-term sustainability plan; Clear governance structure","strong_privacy, reliable_support, real_examples, clear_accountability, community_power, sustainability_plan, clear_governance","Give regular feedback; Participate in governance or voting; Refer others; Contribute time or expertise; Join a pilot","give_feedback, governance, refer_others, contribute_time, join_pilot","Yes","yes","No for now ","Yes","yes","Yes","yes","Technical setup or maintenance demands; Cost or affordability; Privacy, security, or data control concerns; Uncertainty about governance or decision-making; Uncertainty about long-term sustainability; Lack of internal leadership or team support","technical_setup, cost_affordability, privacy_security, governance_uncertainty, sustainability_uncertainty, internal_support","Training or mentorship; Easy onboarding or setup help; Clear documentation and self-serve guides; Affordable hosting or infrastructure support; Funding, subsidies, or sponsorship; A clear governance and accountability model","training, onboarding_help, documentation, hosting_support, funding_subsidies, governance_model","Very sensitive — it would need to be free or very low cost","very_sensitive","One-time donation","one_time_donation","Under $5 per month or under $50 per year","under_5_month","Depend son what the pay is ","","","","","","","","accepted","5.0","4.0","4.0","4.0"
"R078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R079","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R080","I am answering as a member of the general public","general_public","5.0","Too expensive","too_expensive","5.0","4.0","3.0","5.0","3.0","3.0","5.0","5.0","Very familiar","very_familiar","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made","decision_trust","Reliability","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","A meaningful voice in governance and direction","meaningful_voice","Reliable support and maintenance","reliable_support","Refer others","refer_others","Yes","yes","No","Yes","yes","Yes","yes","Uncertainty about long-term sustainability","sustainability_uncertainty","Training or mentorship","training","Very sensitive — it would need to be free or very low cost","very_sensitive","I would only use it if it were free","free_only","I would only use it if it stayed free","free_only","","","","","","","","","accepted","5.0","3.0","4.0","4.0"
"R081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R082","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R083","I am answering as a member of the general public","general_public","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R084","I am answering as a member of the general public","general_public","4.0","Hard to use; Poor privacy or data protection; Poor accessibility","hard_to_use, poor_privacy, poor_accessibility","5.0","4.0","5.0","4.0","4.0","5.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, privacy, influence, less_profit_pressure, long_term_benefit","Privacy and data protection ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Governance participant","governance_participant","Consultation as a user","consulted_as_user","Clear governance structure; Transparent finances; Strong privacy and data protection; Reliable support and maintenance; Clear accountability if something goes wrong; Real examples or pilot partners; Evidence that communities have real decision-making power; Long-term sustainability plan","clear_governance, transparent_finances, strong_privacy, reliable_support, clear_accountability, real_examples, community_power, sustainability_plan","Join a pilot; Contribute time or expertise; Give regular feedback","join_pilot, contribute_time, give_feedback","No","no","","Yes","yes","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","3.0","3.0","3.0","3.0"
"R085","I am answering as a member of the general public","general_public","4.0","Too expensive","too_expensive","5.0","4.0","5.0","5.0","5.0","4.0","3.0","5.0","Heard of it, but not clearly","heard_of_it","Somewhat important","somewhat_important","Much more likely","much_more_likely","Somewhat more likely","somewhat_more_likely","Better alignment with co-operative or community values","values_alignment","","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","A meaningful voice in governance and direction","meaningful_voice","Transparent finances; Strong privacy and data protection; Clear governance structure","transparent_finances, strong_privacy, clear_governance","Join a pilot; Give regular feedback","join_pilot, give_feedback","Yes","yes","Nope","Yes","yes","Yes","yes","Cost or affordability","cost_affordability","Easy onboarding or setup help; Training or mentorship; Clear documentation and self-serve guides","onboarding_help, training, documentation","Very sensitive — it would need to be free or very low cost","very_sensitive","Annual membership or supporter contribution","annual_supporter","Under $5 per month or under $50 per year","under_5_month","","","","","","","","","","2.0","2.0","4.0","3.0"
"R086","I am answering as a member of the general public","general_public","5.0","Too expensive","too_expensive","5.0","","","","","","","","Heard of it, but not clearly","heard_of_it","Very important","very_important","No difference","no_difference","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made","decision_trust","Privacy and security ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","User only","user_only","A meaningful voice in governance and direction","meaningful_voice","Strong privacy and data protection","strong_privacy","Wait and see","wait_and_see","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","2.0","3.0","2.0","3.0"
"R087","I am answering as a member of the general public","general_public","3.0","Hard to use; Weak support when something goes wrong; Too many separate tools to manage","hard_to_use, weak_support, too_many_tools","4.0","5.0","5.0","4.0","5.0","3.0","5.0","5.0","Not familiar","not_familiar","Very important","very_important","Much more likely","much_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Stronger long-term community benefit","decision_trust, values_alignment, accountability, long_term_benefit","Feedback and support in case of any discrepancies","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","Consultation as a user","consulted_as_user","Transparent finances; Strong privacy and data protection; Reliable support and maintenance; Clear governance structure; Clear accountability if something goes wrong; Long-term sustainability plan","transparent_finances, strong_privacy, reliable_support, clear_governance, clear_accountability, sustainability_plan","Join a pilot; Give regular feedback; Refer others; Contribute time or expertise","join_pilot, give_feedback, refer_others, contribute_time","No","no","","No","no","Yes","yes","","","","","","","","","","","","","","","","","","","accepted","1.0","3.0","4.0","3.0"
"R088","I am answering as a member of the general public","general_public","4.0","Poor privacy or data protection; Weak support when something goes wrong; Too expensive","poor_privacy, weak_support, too_expensive","5.0","5.0","5.0","5.0","3.0","5.0","4.0","4.0","Not familiar","not_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Better alignment with co-operative or community values; Stronger long-term community benefit; Better privacy and data stewardship; More accountability to real communities","values_alignment, long_term_benefit, privacy, accountability","","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","A meaningful voice in governance and direction","meaningful_voice","Clear governance structure; Transparent finances; Strong privacy and data protection; Long-term sustainability plan","clear_governance, transparent_finances, strong_privacy, sustainability_plan","Join a pilot","join_pilot","Yes","yes","No","No","no","No","no","Cost or affordability; Lack of integrations with other tools; Privacy, security, or data control concerns; Lack of internal leadership or team support","cost_affordability, integration_gaps, privacy_security, internal_support","Training or mentorship; Clear documentation and self-serve guides; Affordable hosting or infrastructure support; Evidence from pilots or real examples","training, documentation, hosting_support, evidence_pilots","Very sensitive — it would need to be free or very low cost","very_sensitive","Occasional voluntary contribution","occasional_contribution","I would only use it if it stayed free","free_only","","","","","","","","","","1.0","3.0","3.0","3.0"
"R089","I am answering as a member of the general public","general_public","4.0","Too expensive; Poor privacy or data protection; Weak support when something goes wrong","too_expensive, poor_privacy, weak_support","5.0","4.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values","values_alignment","Privacy and security ","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Occasional input on priorities","occasional_input","Strong privacy and data protection","strong_privacy","Give regular feedback","give_feedback","Yes","yes","","","","No","no","Technical setup or maintenance demands","technical_setup","Training or mentorship","training","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","Small recurring monthly contribution","monthly_contribution","$5 to $10 per month or about $50 to $120 per year","5_to_10_month","","","","","","","","","","1.0","4.0","4.0","4.0"
"R090","I am answering as a member of the general public","general_public","4.0","Too expensive","too_expensive","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, privacy, influence, less_profit_pressure, long_term_benefit","Ability to influence","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","Occasional input on priorities","occasional_input","Clear governance structure; Strong privacy and data protection; Reliable support and maintenance; Real examples or pilot partners; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Long-term sustainability plan","clear_governance, strong_privacy, reliable_support, real_examples, clear_accountability, community_power, sustainability_plan","Join a pilot; Pay for use; Refer others; Participate in governance or voting; Give regular feedback; Contribute time or expertise","join_pilot, pay_for_use, refer_others, governance, give_feedback, contribute_time","No","no","No","No","no","No","no","","","","","","","","","","","","","","","","","","","","1.0","3.0","4.0","4.0"
"R091","Other / not specified","other_organisation","4.0","Too expensive; Hard to govern or manage collectively; Not well suited to our community or work","too_expensive, hard_to_govern, not_suited","5.0","5.0","5.0","5.0","4.0","5.0","5.0","5.0","Heard of it, but not clearly","heard_of_it","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More accountability to real communities; Better privacy and data stewardship; Stronger long-term community benefit; More trust in how decisions are made; Better alignment with co-operative or community values","accountability, privacy, long_term_benefit, decision_trust, values_alignment","","","","","","","","","","","","","They are subscription based ","Mainly use it","mainly_use","","","","","","","","","","","","Member organization","member_organization","Consultation as a user","consulted_as_user","Clear governance structure; Strong privacy and data protection; Transparent finances; Reliable support and maintenance; Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Long-term sustainability plan","clear_governance, strong_privacy, transparent_finances, reliable_support, clear_accountability, community_power, sustainability_plan","Join a pilot; Give regular feedback; Participate in governance or voting; Contribute time or expertise; Refer others","join_pilot, give_feedback, governance, contribute_time, refer_others","No","no","No","Yes","yes","No","no","","","","","","","","","","","","","","","","","","","accepted","2.0","3.0","4.0","4.0"
"R092","I am answering as a member of the general public","general_public","5.0","Poor privacy or data protection","poor_privacy","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values; More accountability to real communities; More trust in how decisions are made; Lower risk of profit-driven decisions; Stronger long-term community benefit","values_alignment, accountability, decision_trust, less_profit_pressure, long_term_benefit","","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Governance participant","governance_participant","A meaningful voice in governance and direction","meaningful_voice","Clear governance structure","clear_governance","Join a pilot","join_pilot","Yes","yes","","No","no","No","no","Cost or affordability; Privacy, security, or data control concerns; Uncertainty about governance or decision-making; Uncertainty about long-term sustainability; Lack of internal leadership or team support","cost_affordability, privacy_security, governance_uncertainty, sustainability_uncertainty, internal_support","Training or mentorship; Easy onboarding or setup help; Clear documentation and self-serve guides; Affordable hosting or infrastructure support; Funding, subsidies, or sponsorship; Peer learning with other organizations or community members; Help migrating from current tools; Evidence from pilots or real examples","training, onboarding_help, documentation, hosting_support, funding_subsidies, peer_learning, migration_help, evidence_pilots","Very sensitive — it would need to be free or very low cost","very_sensitive","One-time donation","one_time_donation","Under $5 per month or under $50 per year","under_5_month","","","","","","","","","","1.0","4.0","4.0","4.0"
"R093","I am answering as a member of the general public","general_public","5.0","Too expensive","too_expensive","5.0","3.0","3.0","3.0","3.0","5.0","2.0","3.0","Somewhat familiar","somewhat_familiar","Extremely important","extremely_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values","values_alignment","More users ","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","A meaningful voice in governance and direction","meaningful_voice","Clear governance structure","clear_governance","Pay for use","pay_for_use","Yes","yes","No","No","no","No","no","Time required to learn or onboard","time_to_learn","Easy onboarding or setup help","onboarding_help","Somewhat sensitive — paying could work if the value is clear","somewhat_sensitive","I would only use it if it were free","free_only","I would only use it if it stayed free","free_only","","","","","","","","","","3.0","4.0","4.0","4.0"
"R094","I am answering as a member of the general public","general_public","3.0","Too much dependence on large corporate platforms; Poor privacy or data protection; Not well suited to our community or work","corporate_dependence, poor_privacy, not_suited","5.0","4.0","5.0","4.0","4.0","4.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values; More accountability to real communities; Lower risk of profit-driven decisions; Stronger long-term community benefit","decision_trust, values_alignment, accountability, less_profit_pressure, long_term_benefit","Knowing who’s actually behind it, that my data isn’t being sold, and that the people building it genuinely understand the community not just managing it from the outside.","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Pilot participant","pilot_participant","A meaningful voice in governance and direction","meaningful_voice","Clear governance structure; Strong privacy and data protection; Evidence that communities have real decision-making power; Long-term sustainability plan; Clear accountability if something goes wrong","clear_governance, strong_privacy, community_power, sustainability_plan, clear_accountability","Join a pilot; Give regular feedback; Participate in governance or voting; Refer others; Contribute time or expertise","join_pilot, give_feedback, governance, refer_others, contribute_time","Yes","yes","I think it’s a great idea but sustainability is the real test, it needs to stay accessible to the people it’s meant for, not just the ones who can afford to engage. And governance has to be simple enough that regular people can actually participat","Yes","yes","Yes","yes","Cost or affordability; Uncertainty about long-term sustainability; Time required to learn or onboard","cost_affordability, sustainability_uncertainty, time_to_learn","Training or mentorship; Funding, subsidies, or sponsorship; Peer learning with other organizations or community members; A clear governance and accountability model","training, funding_subsidies, peer_learning, governance_model","It depends on who is paying","depends_who_pays","Occasional voluntary contribution","occasional_contribution","Under $5 per month or under $50 per year","under_5_month","If I could see it actually strengthening the community I’m already in,  making it easier to connect, share resources, and stay informed,  I’d feel good contributing. Knowing my money is going toward something that directly benefits people I know makes it feel real, not abstract.","","","","","","","","accepted","3.0","3.0","4.0","4.0"
"R095","I am answering as a member of the general public","general_public","4.0","Too expensive","too_expensive","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More accountability to real communities","accountability","Information being available in plain language and multiple languages  and knowing the people behind it actually understand the communities they’re serving, not just the tech.","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","A meaningful voice in governance and direction","meaningful_voice","Clear accountability if something goes wrong; Evidence that communities have real decision-making power; Clear governance structure","clear_accountability, community_power, clear_governance","Join a pilot; Give regular feedback; Participate in governance or voting; Refer others; Contribute time or expertise","join_pilot, give_feedback, governance, refer_others, contribute_time","Yes","yes","Sustainability is key, the model needs to be financially viable without pricing out the communities it’s meant to serve. Governance structures should be simple enough that everyday community members can actually participate, not just those with tech or legal backgrounds.","Yes","yes","Yes","yes","Cost or affordability; Time required to learn or onboard; Uncertainty about long-term sustainability","cost_affordability, time_to_learn, sustainability_uncertainty","Training or mentorship; Funding, subsidies, or sponsorship; A clear governance and accountability model; Peer learning with other organizations or community members","training, funding_subsidies, governance_model, peer_learning","It depends on who is paying","depends_who_pays","","","","","","","","","","","","","","1.0","4.0","3.0","3.0"
"R096","I am answering as a member of the general public","general_public","5.0","","other, other","5.0","5.0","5.0","4.0","5.0","4.0","5.0","5.0","Somewhat familiar","somewhat_familiar","Very important","very_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","Better alignment with co-operative or community values; More accountability to real communities; More trust in how decisions are made; Better privacy and data stewardship; More influence over future development; Lower risk of profit-driven decisions; Stronger long-term community benefit","values_alignment, accountability, decision_trust, privacy, influence, less_profit_pressure, long_term_benefit","","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Not sure yet","not_sure_yet","Clear governance structure; Strong privacy and data protection; Reliable support and maintenance; Clear accountability if something goes wrong; Long-term sustainability plan; Transparent finances","clear_governance, strong_privacy, reliable_support, clear_accountability, sustainability_plan, transparent_finances","Wait and see","wait_and_see","No","no","No","No","no","No","no","","","","","","","","","","","","","","","","","","","","3.0","3.0","3.0","3.0"
"R097","I am answering as a member of the general public","general_public","5.0","Hard to govern or manage collectively","hard_to_govern","5.0","3.0","5.0","4.0","5.0","1.0","3.0","4.0","Very familiar","very_familiar","Very important","very_important","Much more likely","much_more_likely","Much more likely","much_more_likely","Better alignment with co-operative or community values; More trust in how decisions are made; Better privacy and data stewardship; More influence over future development; Stronger long-term community benefit","values_alignment, decision_trust, privacy, influence, long_term_benefit","Data privacy, ownership and control","Yes, definitely","yes_definitely","","","","","","","","","","","","","","","","","","","","","","","","Contributor to design and priorities","design_contributor","A meaningful voice in governance and direction","meaningful_voice","Clear governance structure; Strong privacy and data protection; Reliable support and maintenance; Evidence that communities have real decision-making power; Long-term sustainability plan","clear_governance, strong_privacy, reliable_support, community_power, sustainability_plan","Participate in governance or voting; Join a pilot; Contribute time or expertise","governance, join_pilot, contribute_time","Yes","yes","Specific digital tools with clarity of aim and for what specific community member age group is crucial ","Yes","yes","Yes","yes","Time required to learn or onboard; Technical setup or maintenance demands; Privacy, security, or data control concerns; Uncertainty about governance or decision-making","time_to_learn, technical_setup, privacy_security, governance_uncertainty","Peer learning with other organizations or community members; A clear governance and accountability model","peer_learning, governance_model","Not very sensitive — budget is less of a barrier than fit or trust","not_very_sensitive","Occasional voluntary contribution","occasional_contribution","Not sure","not_sure","Community benefits ","","","","","","","","accepted","5.0","3.0","4.0","4.0"
"R098","I am answering as a member of the general public","general_public","3.0","Poor privacy or data protection; Too much dependence on large corporate platforms; Weak support when something goes wrong","poor_privacy, corporate_dependence, weak_support","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","Not familiar","not_familiar","Extremely important","extremely_important","Somewhat more likely","somewhat_more_likely","Somewhat more likely","somewhat_more_likely","More trust in how decisions are made; Better alignment with co-operative or community values","decision_trust, values_alignment","Privacy protection ","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Member organization","member_organization","Occasional input on priorities","occasional_input","Transparent finances","transparent_finances","Pay for use","pay_for_use","No","no","","","","No","no","","","","","","","","","","","","","","","","","","","","1.0","4.0","3.0","3.0"
"R099","I am answering as a member of the general public","general_public","4.0","Too expensive","too_expensive","5.0","4.0","5.0","5.0","4.0","5.0","5.0","5.0","Heard of it, but not clearly","heard_of_it","Very important","very_important","Somewhat more likely","somewhat_more_likely","No difference","no_difference","Better alignment with co-operative or community values","values_alignment","","Maybe","maybe","","","","","","","","","","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","A meaningful voice in governance and direction","meaningful_voice","Strong privacy and data protection","strong_privacy","Join a pilot","join_pilot","No","no","","No","no","No","no","","","","","","","","","","","","","","","","","","","","2.0","3.0","3.0","2.0"
"R100","Non-profit","non_profit","4.0","Too expensive","too_expensive","4.0","4.0","4.0","4.0","4.0","3.0","3.0","3.0","Somewhat familiar","somewhat_familiar","Not very important","not_very_important","No difference","no_difference","No difference","no_difference","Better alignment with co-operative or community values","values_alignment","","","","","","","","","- Lack of adequate knowledge 
- Frequent updates without adequate training 
- High Cost","Much more attractive","much_more_attractive","Purpose & Value ","","","","","","","","","","","","","","","Not sure yet","not_sure_yet","Occasional input on priorities","occasional_input","Long-term sustainability plan; Evidence that communities have real decision-making power; Clear accountability if something goes wrong; Reliable support and maintenance; Strong privacy and data protection; Transparent finances; Clear governance structure","sustainability_plan, community_power, clear_accountability, reliable_support, strong_privacy, transparent_finances, clear_governance","Give regular feedback","give_feedback","No","no","Not at the moment ","No","no","No","no","","","","","","","","","","","","","","","","","","","","3.0","1.0","2.0","2.0"
